time,height,temperature,dew
21:12:46,0.0,53.8,30.0
21:12:48,0.0,53.7,30.0
21:12:50,0.0,53.5,29.8
21:12:52,0.0,53.6,30.1
21:12:54,-0.328084,53.2,29.8
21:12:56,-0.656168,53.2,29.8
21:12:58,-0.328084,53.2,29.9
21:13:00,2.624672,53.0,29.8
21:13:02,5.905512,53.0,29.9
21:13:04,8.858268,52.8,29.7
21:13:06,12.139108,53.0,30.0
21:13:08,15.419948,53.0,30.0
21:13:10,19.356956,53.0,30.0
21:13:12,22.309712,53.0,30.0
21:13:14,24.6063,53.1,30.0
21:13:16,27.559056,53.1,29.9
21:13:18,31.16798,53.3,30.1
21:13:20,34.120736,53.2,30.0
21:13:22,37.401576,53.2,30.0
21:13:24,40.354332,53.2,30.1
21:13:26,42.979004,53.0,29.8
21:13:28,46.259844,53.1,29.9
21:13:30,49.540684,53.1,29.8
21:13:32,52.49344,53.1,29.8
21:13:34,57.086616,53.3,30.0
21:13:36,62.992128,53.2,30.0
21:13:38,65.6168,53.1,29.8
21:13:40,66.929136,53.2,29.8
21:13:42,70.866144,53.4,29.9
21:13:44,74.146984,53.3,29.8
21:13:46,77.427824,53.5,29.9
21:13:48,80.708664,53.5,29.9
21:13:50,84.317588,53.5,29.8
21:13:52,88.254596,53.3,29.7
21:13:54,90.879268,53.3,29.6
21:13:56,93.832024,53.2,29.5
21:13:58,97.440948,53.3,29.6
21:14:00,98.753284,53.3,29.6
21:14:02,101.377956,53.6,29.9
21:14:04,104.330712,53.4,29.8
21:14:06,107.283468,53.3,29.7
21:14:08,110.564308,53.3,29.7
21:14:10,113.517064,53.2,29.6
21:14:12,116.797904,53.4,29.8
21:14:14,120.078744,53.2,29.6
21:14:16,122.703416,53.2,29.7
21:14:18,125.984256,53.2,29.7
21:14:20,128.280844,53.0,29.6
21:14:22,130.905516,53.1,29.7
21:14:24,134.186356,53.0,29.8
21:14:26,139.107616,53.0,29.8
21:14:28,143.372708,53.0,29.8
21:14:30,145.341212,53.0,29.8
21:14:32,148.622052,53.0,29.7
21:14:34,151.246724,53.0,29.6
21:14:36,154.527564,52.8,29.4
21:14:38,157.152236,52.7,29.2
21:14:40,159.12074,52.6,29.1
21:14:42,161.417328,52.7,29.1
21:14:44,165.026252,52.6,29.0
21:14:46,166.338588,52.7,29.1
21:14:48,169.291344,52.9,29.2
21:14:50,172.900268,52.9,29.3
21:14:52,175.52494,52.9,29.2
21:14:54,177.821528,52.8,29.1
21:14:56,180.118116,52.8,29.2
21:14:58,183.070872,52.8,29.1
21:15:00,186.679796,52.8,29.0
21:15:02,190.944888,52.8,29.0
21:15:04,192.257224,52.8,29.0
21:15:06,195.20998,52.8,29.0
21:15:08,195.538064,52.8,28.9
21:15:10,198.162736,52.8,28.9
21:15:12,201.443576,52.8,28.9
21:15:14,205.0525,52.8,28.9
21:15:16,208.33334,52.8,28.8
21:15:18,211.286096,52.8,28.8
21:15:20,214.238852,52.6,28.7
21:15:22,216.207356,52.5,28.6
21:15:24,218.503944,52.8,28.9
21:15:26,221.784784,52.8,29.0
21:15:28,225.065624,52.8,29.0
21:15:30,227.034128,52.8,29.1
21:15:32,229.002632,52.8,29.1
21:15:34,231.955388,52.7,29.0
21:15:36,234.58006,52.7,28.9
21:15:38,237.532816,52.9,29.0
21:15:40,239.829404,53.0,29.1
21:15:42,243.110244,53.0,29.0
21:15:44,246.063,52.9,29.0
21:15:46,248.687672,53.1,29.2
21:15:48,251.312344,53.0,29.0
21:15:50,253.937016,53.1,29.1
21:15:52,256.561688,53.0,29.1
21:15:54,259.514444,53.1,29.1
21:15:56,262.4672,53.1,29.1
21:15:58,265.419956,53.1,29.1
21:16:00,268.700796,53.1,29.1
21:16:02,272.30972,53.1,29.1
21:16:04,275.262476,53.1,29.1
21:16:06,277.887148,53.0,29.0
21:16:08,281.167988,53.0,29.0
21:16:10,284.448828,52.8,28.8
21:16:12,288.385836,52.9,28.9
21:16:14,291.666676,52.9,28.9
21:16:16,294.619432,52.9,28.9
21:16:18,296.91602,53.0,29.0
21:16:20,300.19686,53.0,29.0
21:16:22,302.821532,53.0,29.0
21:16:24,306.102372,53.0,29.1
21:16:26,309.711296,53.0,29.1
21:16:28,312.664052,53.0,29.1
21:16:30,315.288724,53.0,29.1
21:16:32,318.897648,53.0,29.1
21:16:34,322.506572,52.9,29.0
21:16:36,325.787412,52.8,28.9
21:16:38,329.068252,52.8,28.9
21:16:40,332.349092,52.7,28.8
21:16:42,335.629932,52.5,28.6
21:16:44,339.238856,52.6,28.7
21:16:46,342.519696,52.5,28.6
21:16:48,346.12862,52.4,28.5
21:16:50,349.40946,52.4,28.5
21:16:52,352.362216,52.5,28.6
21:16:54,355.314972,52.5,28.6
21:16:56,358.595812,52.4,28.5
21:16:58,362.204736,52.4,28.5
21:17:00,364.17324,52.5,28.6
21:17:02,366.469828,52.5,28.6
21:17:04,369.0945,52.4,28.6
21:17:06,372.37534,52.3,28.5
21:17:08,376.312348,52.3,28.4
21:17:10,379.593188,52.1,28.3
21:17:12,383.202112,52.3,28.5
21:17:14,386.154868,52.2,28.4

# Derived Data
Lapse Rate 0-118m: 7.6c/km
