time,height,temperature,dew
20:58:16,16.4042,64.1,36.1
20:58:18,5.905512,64.2,36.2
20:58:20,0.984252,64.2,36.2
20:58:22,-0.984252,64.2,36.2
20:58:24,-0.984252,64.2,36.2
20:58:26,-0.984252,64.2,36.2
20:58:28,-0.328084,64.3,36.2
20:58:30,0.0,64.2,36.2
20:58:32,0.0,64.3,36.2
20:58:34,-0.328084,64.3,36.2
20:58:36,-0.656168,64.3,36.2
20:58:38,-0.656168,64.4,36.3
20:58:40,0.328084,64.3,36.2
20:58:42,1.64042,64.4,36.3
20:58:44,3.28084,64.3,36.2
20:58:46,4.265092,64.5,36.4
20:58:48,5.249344,64.4,36.3
20:58:50,6.56168,64.4,36.3
20:58:52,8.530184,64.2,36.1
20:58:54,10.498688,64.3,36.2
20:58:56,11.811024,64.3,36.2
20:58:58,13.779528,64.5,36.4
20:59:00,15.091864,64.4,36.3
20:59:02,17.716536,64.5,36.4
20:59:04,18.700788,64.6,36.5
20:59:06,20.341208,64.5,36.4
20:59:08,24.278216,64.6,36.5
20:59:10,24.6063,64.7,36.6
20:59:12,26.24672,64.7,36.6
20:59:14,27.559056,64.8,36.6
20:59:16,28.871392,64.6,36.4
20:59:18,31.496064,64.5,36.2
20:59:20,33.464568,64.5,36.1
20:59:22,33.792652,64.5,36.1
20:59:24,33.792652,64.4,35.9
20:59:26,36.745408,64.2,35.8
20:59:28,38.057744,64.1,35.7
20:59:30,39.37008,64.2,35.8
20:59:32,41.338584,64.1,35.7
20:59:34,43.635172,64.3,35.9
20:59:36,45.93176,64.4,36.0
20:59:38,49.2126,64.4,35.9
20:59:40,49.540684,64.5,36.0
20:59:42,52.165356,64.5,36.0
20:59:44,54.13386,64.4,35.9
20:59:46,54.790028,64.4,35.9
20:59:48,57.086616,64.4,35.9
20:59:50,58.070868,64.3,35.9
20:59:52,59.711288,64.3,35.8
20:59:54,62.007876,64.5,35.9
20:59:56,63.320212,64.5,35.8
20:59:58,64.632548,64.6,35.9
21:00:00,65.944884,64.7,36.0
21:00:02,67.25722,64.6,35.9
21:00:04,68.569556,64.6,35.9
21:00:06,69.881892,64.5,35.8
21:00:08,71.522312,64.4,35.8
21:00:10,73.8189,64.4,35.7
21:00:12,75.45932,64.5,35.9
21:00:14,76.443572,64.4,35.8
21:00:16,77.755908,64.5,35.8
21:00:18,79.396328,64.4,35.7
21:00:20,80.708664,64.2,35.6
21:00:22,82.021,64.3,35.6
21:00:24,83.333336,64.3,35.5
21:00:26,84.645672,64.1,35.3
21:00:28,86.94226,64.1,35.3
21:00:30,88.58268,64.2,35.3
21:00:32,90.551184,64.1,35.2
21:00:34,92.191604,64.0,35.2
21:00:36,93.175856,63.8,35.0
21:00:38,94.488192,63.8,35.0
21:00:40,95.800528,63.7,34.8
21:00:42,97.440948,63.5,34.7
21:00:44,99.737536,63.5,34.7
21:00:46,101.70604,63.5,34.6
21:00:48,103.34646,63.5,34.6
21:00:50,104.658796,63.5,34.6
21:00:52,106.299216,63.5,34.7
21:00:54,108.26772,63.5,34.8
21:00:56,109.580056,63.6,34.9
21:00:58,110.236224,63.6,34.9
21:01:00,110.892392,63.6,35.0
21:01:02,112.204728,63.6,34.9
21:01:04,113.517064,63.7,35.0
21:01:06,114.8294,63.7,35.0
21:01:08,116.46982,63.8,35.2
21:01:10,118.766408,63.9,35.2
