time,height,temperature,dew
21:06:10,-1.312336,53.8,29.2
21:06:12,-1.312336,53.8,29.2
21:06:14,-0.984252,53.8,29.2
21:06:16,0.0,53.7,29.1
21:06:18,1.64042,53.7,29.1
21:06:20,4.92126,53.7,29.0
21:06:22,7.874016,53.7,29.1
21:06:24,10.826772,53.7,29.0
21:06:26,14.107612,53.7,29.0
21:06:28,17.716536,53.7,29.0
21:06:30,21.981628,53.7,29.0
21:06:32,25.590552,53.7,29.0
21:06:34,29.52756,53.8,29.0
21:06:36,33.464568,53.9,29.1
21:06:38,38.057744,53.9,29.2
21:06:40,42.322836,54.0,29.3
21:06:42,46.259844,54.0,29.4
21:06:44,50.85302,54.1,29.4
21:06:46,56.102364,54.1,29.4
21:06:48,60.69554,53.9,29.2
21:06:50,64.632548,53.9,29.3
21:06:52,67.25722,54.0,29.2
21:06:54,70.866144,54.1,29.2
21:06:56,73.162732,54.1,29.2
21:06:58,75.787404,54.2,29.2
21:07:00,78.74016,54.2,29.2
21:07:02,82.021,54.4,29.3
21:07:04,85.30184,54.4,29.3
21:07:06,88.910764,54.4,29.3
21:07:08,91.86352,54.4,29.3
21:07:10,95.472444,54.3,29.2
21:07:12,98.753284,54.2,29.2
21:07:14,102.362208,54.2,29.2
21:07:16,106.299216,54.1,29.1
21:07:18,110.236224,54.1,29.0
21:07:20,114.173232,54.1,29.0
21:07:22,118.11024,54.1,29.0
21:07:24,121.39108,54.0,28.9
21:07:26,126.968508,54.0,28.9
21:07:28,131.561684,54.0,28.9
21:07:30,133.202104,53.9,28.9
21:07:32,135.826776,53.9,28.9
21:07:34,139.763784,53.9,28.8
21:07:36,144.35696,54.0,28.9
21:07:38,148.622052,54.0,28.9
21:07:40,152.887144,54.1,28.9
21:07:42,156.824152,54.1,28.9
21:07:44,161.745412,54.1,28.9
21:07:46,166.010504,54.1,28.9
21:07:48,167.650924,54.1,28.9
21:07:50,170.275596,54.1,29.0
21:07:52,173.228352,54.1,29.0
21:07:54,177.16536,54.1,29.0
21:07:56,181.102368,54.1,28.9
21:07:58,185.695544,54.1,29.0
21:08:00,189.960636,54.1,28.9
21:08:02,193.56956,54.1,28.9
21:08:04,196.8504,54.1,29.0
21:08:06,200.787408,54.0,28.9
21:08:08,204.396332,54.1,29.0
21:08:10,208.005256,54.0,28.9
21:08:12,211.942264,54.1,29.0
21:08:14,216.53544,54.0,29.0
21:08:16,219.160112,54.1,29.0
21:08:18,222.112868,54.2,29.1
21:08:20,225.393708,54.2,29.1
21:08:22,229.6588,54.2,29.1
21:08:24,233.923892,54.2,29.1
21:08:26,235.892396,54.1,29.0
21:08:28,239.173236,54.1,29.0
21:08:30,243.438328,54.1,29.0
21:08:32,246.719168,54.1,29.0
21:08:34,250.000008,54.1,29.0
21:08:36,253.608932,54.2,29.1
21:08:38,257.54594,54.1,29.1
21:08:40,260.498696,54.1,29.1
21:08:42,264.435704,54.1,29.0
21:08:44,268.044628,54.1,29.0
21:08:46,272.637804,54.1,29.0
21:08:48,276.574812,54.1,29.0
21:08:50,280.839904,54.2,29.0
21:08:52,284.120744,54.2,28.9
21:08:54,288.385836,54.2,28.8
21:08:56,292.650928,54.2,28.7
21:08:58,296.91602,54.2,28.7
21:09:00,300.853028,54.1,28.7
21:09:02,305.11812,54.1,28.8
21:09:04,309.711296,54.1,28.9
21:09:06,314.304472,54.2,29.0
21:09:08,318.24148,54.1,29.0
21:09:10,322.506572,54.0,28.9
21:09:12,326.771664,54.0,29.0
21:09:14,331.036756,54.0,28.9
21:09:16,335.301848,53.9,28.9
21:09:18,339.895024,53.9,28.9
21:09:20,343.503948,53.8,28.9
21:09:22,347.112872,53.7,28.8
21:09:34,375.000012,53.2,28.6
21:09:36,379.265104,53.3,28.7
21:09:38,384.186364,53.2,28.7
21:09:40,389.435708,53.1,28.5
21:09:42,392.716548,53.1,28.6
21:09:44,393.044632,53.0,28.4

# Derived Data
Lapse Rate 0-120m: 3.7c/km
